RS,name,pop,size,density
6411,Darmstadt;Stadt',159174,122.2,1302.569558
6412,FrankfurtamMain;Stadt',764104,248.3,3077.341925
6413,OffenbachamMain;Stadt',130892,356.3,367.3645804
6414,Wiesbaden;Stadt',278609,203.93,1366.199186
6431,Bergstraße',271015,719.52,376.6608294
6432,Darmstadt-Dieburg',297701,658.65,451.9866393
6433,Groß-Gerau',275807,453.04,608.7917182
6434,Hochtaunuskreis',237281,482.02,492.2638065
6435,Main-Kinzig-Kreis',421689,1397.55,301.7344639
6436,Main-Taunus-Kreis',239264,222.39,1075.875714
6437,Odenwaldkreis',96754,623.98,155.059457
6438,Offenbach',356542,356.3,1000.679203
6439,Rheingau-Taunus-Kreis',187433,811.48,230.9767339
6440,Wetteraukreis',310353,1100.69,281.9622237
6531,Gießen',271667,854.67,317.8618648
6532,Lahn-Dill-Kreis',253373,1066.52,237.5698534
6533,Limburg-Weilburg',172291,738.48,233.3048965
6534,Marburg-Biedenkopf',245903,1262.55,194.7669399
6535,Vogelsbergkreis',105506,1458.99,72.31440928
6611,Kassel;Stadt',201048,106.78,1882.824499
6633,Kassel',237007,1292.92,183.3114191
6631,Fulda',223023,1380.4,161.5640394
6632,Hersfeld-Rotenburg',120304,1097.12,109.6543678
6634,Schwalm-Eder-Kreis',179840,1538.15,116.9196762
6635,Waldeck-Frankenberg',156528,1848.44,84.68113653
6636,Werra-Meißner-Kreis',100046,1024.7,97.63442959