#time,infections,deaths,inf_class
0,2339470,73074,0
1,2343871,73264,4401
2,2353130,73541,9259
3,2363137,73806,10007
4,2372396,74039,9259
5,2381133,74252,8737
6,2388924,74398,7791
7,2391971,74493,3047
8,2396361,74665,4390
9,2406568,74877,10207
10,2417891,75097,11323
11,2427844,75292,9953
12,2437302,75467,9458
13,2444981,75593,7679
14,2448448,75660,3467
15,2453137,75817,4689
16,2464097,76000,10960
17,2475415,76157,11318
18,2485527,76309,10112
19,2495196,76444,9669
20,2503512,76565,8316
21,2506882,76643,3370
22,2511692,76772,4810
23,2523191,76941,11499
24,2537190,77135,13999
25,2550274,77324,13084
26,2562739,77490,12465
27,2573217,77606,10478
28,2578072,77679,4855
29,2584896,77817,6824
30,2600723,78038,15827
31,2619146,78236,18423
32,2635929,78457,16783
33,2651660,78636,15731
34,2664921,78768,13261
35,2670906,78870,5985
36,2679845,79023,8939
37,2699392,79268,19547
38,2722118,79507,22726
39,2744099,79745,21981
40,2764182,79982,20083
41,2779958,80168,15776
42,2787582,80272,7624
43,2798632,80475,11050
44,2819059,80742,20427
45,2843153,81014,24094
46,2864634,81243,21481
47,2880178,81418,15544
48,2890859,81578,10681
49,2898066,81686,7207
50,2905152,81834,7086
51,2916665,82064,11513
52,2940371,82316,23706
53,2966122,82562,25751
54,2989446,82768,23324
55,3007519,82950,18073
56,3016381,83046,8862
57,3028412,83218,12031
58,3055013,83458,26601
59,3083770,83707,28757
60,3108926,83920,25156
61,3132044,84103,23118
62,3149751,84261,17707
63,3158595,84371,8844
64,3170947,84530,12352
65,3198949,84752,28002
66,3228459,84956,29510
67,3253993,85167,25534
68,3277042,85336,23049
69,3295053,85467,18011
70,3303784,85531,8731
71,3315968,85662,12184
72,3341237,85818,25269
73,3366209,85958,24972
74,3387556,86070,21347
75,3406700,86180,19144
76,3421836,86250,15136
77,3428532,86303,6696
78,3437688,86372,9156
79,3458709,86475,21021
80,3479630,86566,20921
81,3496824,86640,17194
82,3512318,86701,15494
83,3524362,86723,12044
84,3529694,86746,5332
85,3537052,86775,7358
86,3553844,86805,16792
87,3570227,86842,16383
88,3579842,86853,9615
89,3587336,86872,7494